ibge_code;municipality;use_purpose;source_type;n_permits;n_abstraction;n_impoundment;n_quantified;total_flow;total_volume
3530607;MOGI DAS CRUZES;Mineração - Outros Processos Extrativos;surface;21;21;0;21;4135,080000;30201822,56
3530607;MOGI DAS CRUZES;Outras;groundwater;42;42;0;32;349,860000;1877811,60
3530607;MOGI DAS CRUZES;Outras;surface;74;42;32;38;1064,650000;6291767,79
3530607;MOGI DAS CRUZES;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;127;0;127;0;0,000000;0,00
3530607;MOGI DAS CRUZES;Serviços;surface;3;3;0;3;20,160000;90053,60
3534401;OSASCO;Abastecimento Público;groundwater;1;1;0;1;13,000000;93600,00
3534401;OSASCO;Consumo Humano;groundwater;8;8;0;8;79,200000;465480,00
3534401;OSASCO;Consumo Humano;surface;1;1;0;1;3,000000;10950,00
3534401;OSASCO;Indústria;groundwater;25;25;0;21;256,100000;1333932,00
3534401;OSASCO;Indústria;surface;2;2;0;2;22,000000;111684,00
3534401;OSASCO;Outras;groundwater;55;55;0;49;1395,280000;8115632,40
3534401;OSASCO;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;72;0;72;0;0,000000;0,00
3539103;PIRAPORA DO BOM JESUS;Abastecimento Público;surface;2;2;0;2;234,000000;1825920,00
3539103;PIRAPORA DO BOM JESUS;Consumo Humano;groundwater;1;1;0;1;1,000000;1200,00
3539103;PIRAPORA DO BOM JESUS;Indústria;groundwater;4;4;0;3;103,050000;630180,00
3539103;PIRAPORA DO BOM JESUS;Outras;surface;2;2;0;2;493203,000000;4261269900,00
3539103;PIRAPORA DO BOM JESUS;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;1;0;1;0;0,000000;0,00
3539806;POÁ;Consumo Humano;surface;2;2;0;2;64,920000;467424,00
3539806;POÁ;Indústria;groundwater;6;6;0;5;43,000000;309600,00
3539806;POÁ;Indústria;surface;5;5;0;5;214,420000;980064,00
3539806;POÁ;Outras;groundwater;4;4;0;4;41,690000;187968,00
3539806;POÁ;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;8;0;8;0;0,000000;0,00
3543303;RIBEIRÃO PIRES;Abastecimento Público;surface;3;3;0;1;144,000000;1261440,00
3543303;RIBEIRÃO PIRES;Consumo Humano;groundwater;2;2;0;2;70,000000;504000,00
3543303;RIBEIRÃO PIRES;Indústria;groundwater;7;7;0;7;32,430000;143532,00
3543303;RIBEIRÃO PIRES;Indústria;surface;3;3;0;3;520,000000;1874000,00
3543303;RIBEIRÃO PIRES;Irrigação;surface;1;1;0;1;20,000000;9600,00
3543303;RIBEIRÃO PIRES;Outras;groundwater;12;12;0;9;63,400000;292320,00
3543303;RIBEIRÃO PIRES;Outras;surface;3;3;0;3;13,000000;43836,00
3543303;RIBEIRÃO PIRES;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;15;0;15;0;0,000000;0,00
3543303;RIBEIRÃO PIRES;Serviços;surface;5;5;0;5;19,000000;55328,00
3544103;RIO GRANDE DA SERRA;Abastecimento Público;surface;1;1;0;1;360,000000;3144960,00
3544103;RIO GRANDE DA SERRA;Indústria;groundwater;3;3;0;1;24,000000;172800,00
3544103;RIO GRANDE DA SERRA;Indústria;surface;4;4;0;4;1000,000000;3456000,00
3544103;RIO GRANDE DA SERRA;Outras;groundwater;1;1;0;0;0,000000;0,00
3544103;RIO GRANDE DA SERRA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;3;0;3;0;0,000000;0,00
3545001;SALESÓPOLIS;Abastecimento Público;groundwater;1;1;0;1;30,000000;194400,00
3545001;SALESÓPOLIS;Abastecimento Público;surface;4;4;0;3;21600,000000;189216000,00
3545001;SALESÓPOLIS;Aproveitamento Hidroelétrico;surface;1;0;1;0;0,000000;0,00
3545001;SALESÓPOLIS;Aquicultura em Tanque Escavado;surface;1;1;0;0;0,000000;0,00
3545001;SALESÓPOLIS;Indústria;surface;2;2;0;2;6,000000;2460,00
3545001;SALESÓPOLIS;Irrigação;surface;19;16;3;15;406,930000;442432,56
3545001;SALESÓPOLIS;Outras;surface;7;6;1;3;18,000000;28092,00
3545001;SALESÓPOLIS;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;17;0;17;0;0,000000;0,00
3547304;SANTANA DE PARNAÍBA;Abastecimento Público;groundwater;1;1;0;1;6,000000;21600,00
3547304;SANTANA DE PARNAÍBA;Abastecimento Público;surface;10;10;0;10;621,390000;5062701,12
3547304;SANTANA DE PARNAÍBA;Consumo Humano;groundwater;11;11;0;11;251,800000;1634616,00
3547304;SANTANA DE PARNAÍBA;Consumo Humano;surface;1;1;0;1;15,000000;131040,00
3547304;SANTANA DE PARNAÍBA;Indústria;groundwater;19;19;0;14;101,280000;672048,00
3547304;SANTANA DE PARNAÍBA;Indústria;surface;7;7;0;7;361,800000;251186,00
3547304;SANTANA DE PARNAÍBA;Irrigação;surface;2;2;0;2;12,990000;8152,36
3547304;SANTANA DE PARNAÍBA;Mineração - Extração de Areia/Cascalho em Leito de Rio;surface;2;0;2;0;0,000000;0,00
3547304;SANTANA DE PARNAÍBA;Outras;groundwater;35;35;0;28;268,330000;838092,00
3547304;SANTANA DE PARNAÍBA;Outras;surface;9;9;0;8;65,220000;179166,80
3547304;SANTANA DE PARNAÍBA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;23;0;23;0;0,000000;0,00
3547809;SANTO ANDRÉ;Abastecimento Público;groundwater;2;2;0;1;1,000000;4680,00
3547809;SANTO ANDRÉ;Abastecimento Público;surface;9;9;0;9;4995,000000;42996960,00
3547809;SANTO ANDRÉ;Indústria;groundwater;25;25;0;16;3124,350000;22275204,00
3547809;SANTO ANDRÉ;Indústria;surface;8;8;0;8;3400,000000;24451200,00
3547809;SANTO ANDRÉ;Irrigação;surface;21;21;0;14;252,000000;281328,50
3547809;SANTO ANDRÉ;Outras;groundwater;39;39;0;29;1013,500000;1087823,20
3547809;SANTO ANDRÉ;Outras;surface;3;3;0;3;6,580000;27031,20
3547809;SANTO ANDRÉ;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;30;0;30;0;0,000000;0,00
3548708;SÃO BERNARDO DO CAMPO;Abastecimento Público;groundwater;2;2;0;2;36,000000;237600,00
3548708;SÃO BERNARDO DO CAMPO;Abastecimento Público;surface;8;8;0;6;23544,000000;199869120,00
3548708;SÃO BERNARDO DO CAMPO;Consumo Humano;groundwater;15;15;0;15;121,500000;440817,60
